"number","title"
"10","Implement name sanitization utilities"
"13","add daemon or watch mode equivalent of `tye run`"
"20","Handle jobs that run to completion"
"30","tye secret store"
"34","Default to local registry"
"46","Multi-service, targeting remote and local. "
"56","Clean up console output"
"126","Implement content-based versioning/tagging for images"
"143","Run as a Windows Service"
"173","Use executable results in EventPipe error"
"190","Align with docker compose format?"
"204","Ingress should allow picking a specific named binding"
"223","Support for replacement tokens"
"230","Support multi-targeted projects"
"238","tye init : globbing support and adding multiple projects"
"257","Implement session affinity for ingress"
"260","Implement support for sidecars in hosting as a first-class feature"
"310","Use new token replacement feature for Dapr Extension"
"320","Add support for container tools package "
"348","Consider improved Dockerfile generation"
"356","Add the ability to query addresses of replicas in the list of services"
"377","Support replacement tokens in environment variables"
"380","Make it clearer that proxy containers are not where project services are running"
"397","Enable Helm based services."
"398","Enable ""virtual"" services"
"413","Have ENV specific tye.yml files"
"422","Connectionstring_* ENV exists in all containers"
"428","Nginx sample is not working"
"443","depends_on & healthcheck"
"446","No Tye equivalent for the command property in a docker file"
"461","Improve diagnostics when projects are skipped or included in tye.yaml for tye init and tye run/deploy without a tye.yaml"
"530","add command to tye for converting docker-compose to tye"
"544","tye run --watch doesn't work with projects running in containers"
"546","Automatically add javascript SPAs"
"562","Error when deploying with https bindings"
"574","Parse secrets from dotnet user-secrets"
"597","Expand variable substitution in tye.yaml"
"605","Add an option to override a existing Dockerfile"
"606","Build a `tye add` command"
"607","Set autoassignport to true when appropriate"
"614","Add option to tye.yml to selectively watch some services"
"624","Add option to run tye in background / detached 'tye run --detach' "
"633","Tye doesn't clean up processes properly"
"636","Tye fails to deploy"
"637","Init Container support"
"643","Please add IP Address to Ingress Binding"
"645","Configmap and secrets"
"649","tye docker container memory limiting"
"652","Control the startup order ?"
"653","Support running multiple instances of tye "
"655","Create configured docker network"
"656","Tye run and multiple docker networks"
"657","docker-compose like environment variables syntax"
"665","Add ability to instantiate front-end application, like running .net apps within front-end apps"
"671","JSON configuration format (tye.json)"
"672","Log autoscroll (toggleable)"
"673","Deploy single service"
"676","Proposal: add root `env` section to tye.yaml"
"679","deployment of ingress fails"
"684","docker build using --no-cache"
"691","Authorization header is lost while communicating with a service"
"694","Tye's dashboard should support structured logging"
"695","X-Forwarded- headers in Tye ingress"
"711","Write container logs to tye console logs"
"714","On deploy only use dockerfile if specified in tye.yaml"
"715","Allow container tag to be specified in tye.yaml"
"717","Allow dockerfile on deploy"
"719","Allow custom imagePullPolicy"
"726","Mounting files with .csproj "
"732","Support deployment labels"
"737","Update Ingress to v1"
"741","watch doesn't work for Blazor WASM"
"743","Confirm correct usage of Port and ContainerPort across tye"
"753","Show the file path of the dockerfile in the dashboard"
"754","Allow regex in ingress path"
"758","Should containerPort default to 80 for image references?"
"759","Debug should output what process id the debugger should be attached to"
"762","Also has SSL Error on Windows 10 debugger mode"
"772",".env file variables are not replaced"
"790","Dapr cannot read state saved in a different service"
"791","Health checks in Debug mode"
"796","Allow ingress deploy as separate command"
"797","Idea: a `tye clean` (or equivalent) command to cleanup prior Tye runs"
"832","Allow ingress to be installed without prompt"
"841","ConnectionString is not picked up when giving a name to the binding"
"846","Secret validation fails for the named binding"
"853","--exclude flag for tye run"
"861","Parse ${ENV_VAR} in env_file"
"869","Command line ""args"" missed in generated Kebernetes deploy script"
"872","A bug when trying to undeploy "
"873","allow shell commands for javascript projects (yarn/npm)"
"876","Make it possible to start/stop/restart individual services"
"890","Random crashes in macOS test run"
"905","Set the version on execution - build & push"
"913","Ingress using v1beta1 with kubectl v1.19.3"
"925","Tye seems to be ignoring global.json?"
"937","Enhance Elastic extension for configurable ports"
"957","tye probes with bad states behavior"
"961","Tye with dapr extension  + service invocation to grpc"
"969","Add tye generate to the CLI"
"985","Tye run --watch should should restart services when they are edited in the tye.yaml file"
"994","Tye ingress caches cookies when running tye locally"
"1002","dtye run doesn't work"
"1010","Tye does not reload a projec after modifying a Razor file"
"1012","Dockerfile build ignores actual docker file value"
"1016","`tye deploy` fails when services bindings are named other than ""http""."
"1033","Yaml parsing errors always report `tye.yaml` file problem"
"1044","Use host.docker.internal to Resolve Container Host in >= Docker 20.10"
"1051","AAD Pods Managed Identity Integration"
"1052","Enable access to service in development from remote device"
"1065","Add `-app-ssl` flag for Dapr extension"
"1073","Specify Kubernetes deployment resources limits and requests"
"1078","UDP support in proxies"
"1087","Enable adding certificates on https bindings or even on ingress rules."
"1088","Tye crashes when shutting down configuration with many services"
"1093","Ingress Websocket not connecting"
"1097","Enable Dapr sidecars for non-HTTP-bound services"
"1100","Can't bind ingress to port 80"
"1113","Option to enable colors in console output"
"1125","Dashboard: ""clear logs"" button does not really delete logs"
"1127","Add Tye host metadata to dashboard API"
"1138","Exit code not properly logged in error message"
"1140","Can't debug when using livenessprobe"
"1143","Loading external repository with Dockerfile located in a subfolder"
"1148","Make unit tests more robust."
"1168","multi-architecture image builds"
"1170","Tye Wehhook/Callback/SignalR hub"
"1181","Enable Streaming logs  "
"1202","Intermittent failure for ""tye run"""
"1208","E2E tests hang on Linux"
"1212","Containers are not removed on build failure"
"1217","Support deploying services to multiple namespaces using tye"
"1225","Add label support to tye"
"1255","Tye on Podman with Postgres couldn't inject environment variables"
"1256","Tye with Podman threw Incorrect volume format, should be [host-dir:]ctr-dir[:option]"
"1261","nginx ingress returns 413 with large body sizes"
"1275","`tye run --docker` should respect Docker-related service configuration"
"1292","Allow environment variables in project path"
"1307","tye run without building projects is not working"
"1316","Azure Functions configuration add duplicate port at command line"
"1320","tye specifies http app-port when dapr is run with app-ssl"
"1339","Tye keep re-launching a service"
"1340","Add flag to disable / ignore service in tye application"
"1365","Add header option for ingress"
"1371","tye deploy produces misleading error message if kubectl cannot start"
"1372","Dapr integration not working when all services are defined using dockerfiles"
"1381","Deploying to kubernetes fails because of quote in username"
"1382","Support Platform Flag"
"1387","Tye using wrong Azure Function Core Tools"
"1393","Dapr Sidecar Not Created In Case Service Binding to HTTPS Domain with Error Message ""Dapr has been disabled for unbound service xx"""
"1404","When using `buildProperties` (Configuration: Release) with `--watch`, Tye seems to still rebuild in Debug"
"1415","Add command to stop containers that are left running"
"1417","Feature ""removed process _PID_ from previous run"" is dangerous (can terminate unrelated processes)"
"1419","Environment variables specified across multiple files do not clobber as expected"
"1429","Tye with dapr on .net 6 - DAPR_HTTP_PORT not set DAPR_GRPC_PORT"
"1430","When deploying app to a specific namespace zipkin secret is created in default namespace"
"1431","Dapr extension not considering Azure function apps"
"1438","Watch with solution fails msbuild when involving a project with special character(s)"
"1444","Dashboard Quality-of-Life improvement"
"1449","Cache or specify ProjectMetadata files"
"1460","Merge multiple ingresses with the same name from different includes"
"1475","tye deploy when yaml file specifies images expects to build projects."
"1491","Automatically use container if volumes are mounted on project based service"
"1492","Add ability to use network aliases "
"1500","Specifying Dapr command arguments for individual services throwing an error"
"1504","Defining and Running Multiple Tye ""Apps"""
"1507","Incoming http/2 requests forward to http/1.1 are not transformed"
"1515","Binding Routes missing from tye-schema.json"
"1534","Environment variables are not being parsed properly in the volume mapping configuration."
"1544","Tye deploy doesn't respect namespace when checking kubectl cluster-info"
"1547","Object reference not set to an instance of an object on EventCounters for .NET 7"
"1567","Allow service to be passed as argument for tye run --watch (like --debug)"
"1585","tye ignores ASPNETCORE_ENVIRONMENT?"
"1588","Tag for definening default services, and listing of services"
"1603","Multiple resource paths on dapr 11 - components-path has been deprecated"
"1607","esproj support"
